Estimator,Permuted,ev,fold,imputation_strategy,mae,model_testing,mse,r2_score,target,variable,visit
RandomForest,no,0.6984117344397499,89,median,3.2724655581947744,validation,16.790260940617582,0.6983758047954223,Age,Life style (LS),third
RandomForest,no,0.6934265168360141,90,median,3.400087785153885,validation,18.1873244025875,0.6932185170555457,Age,Life style (LS),third
RandomForest,no,0.6409517139134726,91,median,3.5943087885985747,validation,20.088748959619952,0.6400087886617858,Age,Life style (LS),third
RandomForest,no,0.7200393599880559,92,median,3.26265083135392,validation,16.513480665083133,0.716980842335341,Age,Life style (LS),third
RandomForest,no,0.671093146069554,93,median,3.4102368586852485,validation,18.24545676384732,0.670615567064657,Age,Life style (LS),third
RandomForest,no,0.6367733496386643,94,median,3.445445964569488,validation,19.083526938681253,0.6367148179989871,Age,Life style (LS),third
RandomForest,no,0.6799686743954649,95,median,3.4251474615266586,validation,17.960885775275486,0.6797782899727135,Age,Life style (LS),third
RandomForest,no,0.6558416687193361,96,median,3.565653206650832,validation,19.336533624703087,0.6535752415588427,Age,Life style (LS),third
RandomForest,no,0.6903756924466106,97,median,3.277683580929623,validation,16.97615156141673,0.6900457772505141,Age,Life style (LS),third
RandomForest,no,0.6840227062172106,98,median,3.462907363420427,validation,19.022145330166268,0.6810807409640913,Age,Life style (LS),third
RandomForest,no,0.6617101224965829,99,median,3.4460522565320666,validation,18.56933932541568,0.6593437545605265,Age,Life style (LS),third
RandomForest,no,0.6757379031769951,0,median,3.354930318352812,generalization,17.732731684408293,0.6756783322060932,Age,Life style (LS),third
RandomForest,no,0.6745062838570779,1,median,3.3511551465439413,generalization,17.802237674505793,0.6744071068229274,Age,Life style (LS),third
RandomForest,no,0.674725143454233,2,median,3.3527988792400443,generalization,17.792102833742497,0.6745924673481796,Age,Life style (LS),third
RandomForest,no,0.6745776272744728,3,median,3.3567996151070485,generalization,17.793005201828247,0.6745759635444937,Age,Life style (LS),third
RandomForest,no,0.675714167814043,4,median,3.3489795525619432,generalization,17.73939677652153,0.6755564314279934,Age,Life style (LS),third
RandomForest,no,0.6719068860747757,5,median,3.3664050698756736,generalization,17.942995563643194,0.6718327243660873,Age,Life style (LS),third
RandomForest,no,0.6739148638797885,6,median,3.357862519112523,generalization,17.83192940008172,0.6738640618973151,Age,Life style (LS),third
RandomForest,no,0.6704981602686129,7,median,3.369205677171037,generalization,18.019962623045465,0.6704250402306259,Age,Life style (LS),third
RandomForest,no,0.6718834279666952,8,median,3.3610055328361805,generalization,17.941371208082753,0.671862432913751,Age,Life style (LS),third
RandomForest,no,0.6747624104641194,9,median,3.358544845611516,generalization,17.784755623690902,0.6747268436789093,Age,Life style (LS),third
RandomForest,no,0.6716174319780335,10,median,3.3680056213668568,generalization,17.95638048617511,0.6715879216771334,Age,Life style (LS),third
RandomForest,no,0.6723168411508988,11,median,3.3633851335097438,generalization,17.916657150829927,0.6723144390913012,Age,Life style (LS),third
RandomForest,no,0.6739788801964984,12,median,3.3549607890305517,generalization,17.827112825595382,0.6739521543299003,Age,Life style (LS),third
