Estimator,Permuted,ev,fold,mae,modality,model_testing,mse,r2_score,target
RandomForest,no,0.5047993028892777,54,4.089852843840531,"sMRI, dMRI, fMRI (full MRI)",validation,24.77588643463313,0.5047433266218909,Age
RandomForest,no,0.5017389999601084,54,4.026604570323967,"sMRI, dMRI, fMRI (full MRI)",generalization,24.63763307552805,0.5017265997729523,Age
RandomForest,no,0.4987740993790022,55,4.408957605985038,"sMRI, dMRI, fMRI (full MRI)",validation,27.680325107231933,0.498589506690882,Age
RandomForest,no,0.5036028892524096,55,4.027422155688623,"sMRI, dMRI, fMRI (full MRI)",generalization,24.545042399201602,0.503599160784843,Age
RandomForest,no,0.4998474493140073,56,3.9356708229426434,"sMRI, dMRI, fMRI (full MRI)",validation,23.480729097256866,0.4995034808560704,Age
RandomForest,no,0.5025653503966258,56,4.0271786427145715,"sMRI, dMRI, fMRI (full MRI)",generalization,24.59724597604791,0.5025433916020046,Age
RandomForest,no,0.4926784453016493,57,3.987221945137157,"sMRI, dMRI, fMRI (full MRI)",validation,24.393510902743138,0.4912326076599534,Age
RandomForest,no,0.5037734365123887,57,4.020079840319362,"sMRI, dMRI, fMRI (full MRI)",generalization,24.539876311377245,0.5037036401452679,Age
RandomForest,no,0.4859083353904551,58,4.292688279301745,"sMRI, dMRI, fMRI (full MRI)",validation,27.636690832917704,0.4857187054316531,Age
RandomForest,no,0.5009453571026483,58,4.029437125748503,"sMRI, dMRI, fMRI (full MRI)",generalization,24.67672341716567,0.5009360336749792,Age
RandomForest,no,0.4666349812627307,59,4.151450272817881,"sMRI, dMRI, fMRI (full MRI)",validation,26.670942343793893,0.4633454936631505,Age
RandomForest,no,0.5021995796104326,59,4.02885078459318,"sMRI, dMRI, fMRI (full MRI)",generalization,24.61667431276868,0.502150471414869,Age
RandomForest,no,0.5115585588437868,60,4.106572204600361,"sMRI, dMRI, fMRI (full MRI)",validation,25.296470549074265,0.5111701637867837,Age
RandomForest,no,0.5030206477280375,60,4.023391611565812,"sMRI, dMRI, fMRI (full MRI)",generalization,24.57365626058541,0.5030204718352338,Age
RandomForest,no,0.4336256166028507,61,4.338074812967581,"sMRI, dMRI, fMRI (full MRI)",validation,28.121162453865338,0.4334353582703526,Age
RandomForest,no,0.501996906948339,61,4.0265029940119765,"sMRI, dMRI, fMRI (full MRI)",generalization,24.62598135728543,0.5019622450254586,Age
RandomForest,no,0.4701027655672193,62,4.009426433915213,"sMRI, dMRI, fMRI (full MRI)",validation,24.793098573566084,0.47009993839011605,Age
RandomForest,no,0.5023078780384062,62,4.0243642714570855,"sMRI, dMRI, fMRI (full MRI)",generalization,24.609451908183637,0.5022965378847841,Age
