,Data type,Estimator,Permuted,ev,fold,imputation_strategy,mae,model_testing,mse,r2_score,target,variable
123,Imaging & Non-imaging,RandomForest,no,0.6747943414845181,61,median,3.176646700487752,generalization,16.081518671150306,0.6747661204091913,Age,Life style (LS)
124,Imaging & Non-imaging,RandomForest,no,0.6481732357005897,62,median,3.2957163351921968,validation,16.484550079766915,0.6476775955631069,Age,Life style (LS)
125,Imaging & Non-imaging,RandomForest,no,0.6712374057717596,62,median,3.18964398358344,generalization,16.25626673488015,0.6712320020289542,Age,Life style (LS)
126,Imaging & Non-imaging,RandomForest,no,0.7082508788439604,63,median,3.044824932562158,validation,13.977435162926607,0.7081517101939592,Age,Life style (LS)
127,Imaging & Non-imaging,RandomForest,no,0.6723920023631937,63,median,3.1957971694408935,generalization,16.200257350681042,0.672364740154567,Age,Life style (LS)
128,Imaging & Non-imaging,RandomForest,no,0.7032787627949786,64,median,3.2105236907730674,validation,15.230038304239404,0.7024756077478145,Age,Life style (LS)
129,Imaging & Non-imaging,RandomForest,no,0.6769075926276829,64,median,3.1694950099800403,generalization,15.97604169261477,0.6768992949953807,Age,Life style (LS)
130,Imaging & Non-imaging,RandomForest,no,0.6124125608666129,65,median,3.455792370453279,validation,19.22103531179993,0.6113989585578357,Age,Life style (LS)
131,Imaging & Non-imaging,RandomForest,no,0.6726402724309275,65,median,3.186994903047931,generalization,16.187006088355815,0.6726327347105315,Age,Life style (LS)
132,Imaging & Non-imaging,RandomForest,no,0.6916937772121716,66,median,3.1847296187236545,validation,15.895193104699688,0.6916343944076417,Age,Life style (LS)
133,Imaging & Non-imaging,RandomForest,no,0.6701106760092628,66,median,3.2071543309504267,generalization,16.311853960650552,0.6701078016681119,Age,Life style (LS)
134,Imaging & Non-imaging,RandomForest,no,0.6826203153975681,67,median,3.1509426433915215,validation,16.125653466334164,0.6819920157665917,Age,Life style (LS)
135,Imaging & Non-imaging,RandomForest,no,0.6687401959851391,67,median,3.2091866267465066,generalization,16.379486063872257,0.6687400047724654,Age,Life style (LS)
136,Imaging & Non-imaging,RandomForest,no,0.6824606493504468,68,median,3.1801637767939104,validation,15.270444560121778,0.6790830115176929,Age,Life style (LS)
137,Imaging & Non-imaging,RandomForest,no,0.6714616644892668,68,median,3.1971745346932887,generalization,16.248438906422113,0.6713903126381844,Age,Life style (LS)
138,Imaging & Non-imaging,RandomForest,no,0.6661040170744942,69,median,3.184394765399833,validation,15.981193699408506,0.6649073624563382,Age,Life style (LS)
139,Imaging & Non-imaging,RandomForest,no,0.675472826416741,69,median,3.1814279524470117,generalization,16.048385725699646,0.6754362036651042,Age,Life style (LS)
140,Imaging & Non-imaging,RandomForest,no,0.6700142529641206,70,median,3.39137757595661,validation,17.662690150067693,0.6683179380829285,Age,Life style (LS)
141,Imaging & Non-imaging,RandomForest,no,0.6721563100195493,70,median,3.1917696911378735,generalization,16.210567165152217,0.6721562336679043,Age,Life style (LS)
142,Imaging & Non-imaging,RandomForest,no,0.6553553429890323,71,median,3.3657111213360587,validation,17.79426673548402,0.6550018634063529,Age,Life style (LS)
143,Imaging & Non-imaging,RandomForest,no,0.6759750570021863,71,median,3.1767467774703686,generalization,16.02216581926767,0.6759664770842855,Age,Life style (LS)
144,Imaging & Non-imaging,RandomForest,no,0.6486343455802377,72,median,3.319892481535981,validation,17.35844130857048,0.648593517732581,Age,Life style (LS)
145,Imaging & Non-imaging,RandomForest,no,0.6700365007881447,72,median,3.2062066113503875,generalization,16.317324727617148,0.6699971604531081,Age,Life style (LS)
146,Imaging & Non-imaging,RandomForest,no,0.6622501778025301,73,median,3.311172069825436,validation,16.546274832917707,0.6619989751435006,Age,Life style (LS)
147,Imaging & Non-imaging,RandomForest,no,0.6704985690587182,73,median,3.2081596806387225,generalization,16.29416949301397,0.670465453711775,Age,Life style (LS)
148,Imaging & Non-imaging,RandomForest,no,0.6324490320345124,74,median,3.35368482754658,validation,17.361967391448633,0.6317602143587429,Age,Life style (LS)
149,Imaging & Non-imaging,RandomForest,no,0.6703632134535686,74,median,3.20081581601626,generalization,16.299394585955525,0.6703597810272883,Age,Life style (LS)
150,Imaging & Non-imaging,RandomForest,no,0.6924159923145006,75,median,3.1851870324189515,validation,15.787254623441394,0.6923805259274124,Age,Life style (LS)
151,Imaging & Non-imaging,RandomForest,no,0.6746031691049783,75,median,3.1814281437125755,generalization,16.09110920958084,0.6745721606169035,Age,Life style (LS)
152,Imaging & Non-imaging,RandomForest,no,0.6761988388761251,76,median,3.3314039411416547,validation,17.747216795485908,0.6759840808480354,Age,Life style (LS)
