Estimator,Permuted,ev,fold,imputation_strategy,mae,model_testing,mse,r2_score,target,variable
RandomForest,no,0.6757382194312807,48,median,3.1822792575600785,generalization,16.03346715078201,0.6757379180801197,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6715788707393722,49,median,3.2739933940498216,validation,16.234103718900773,0.6714756860476577,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6751731699642229,49,median,3.1709520564200098,generalization,16.061639349591015,0.6751681613486431,Age,"EL, EDU, LS, MH"
RandomForest,no,0.637824932123592,50,median,3.4045390507748903,validation,18.13238346048497,0.6372220203064909,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6727747859675564,50,median,3.1844509862357278,generalization,16.180006681039416,0.6727742912664079,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6367644124516159,51,median,3.3057783701681998,validation,17.47975346241531,0.6365174520663045,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6682488691750081,51,median,3.212500780285469,generalization,16.404612566570034,0.6682318444351206,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6409936346495589,52,median,3.2178432008771276,validation,16.940008238074775,0.6380006861728491,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6691160503153756,52,median,3.2086955836911937,generalization,16.364873099354046,0.6690355384990846,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6651419980567294,53,median,3.4304350490869733,validation,17.938624784516183,0.6649024958881709,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6693185425373316,53,median,3.213734457268868,generalization,16.352306902092106,0.6692896782461306,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6858241327746095,54,median,3.2244300362049056,validation,15.735278324566586,0.6854602309280037,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6726827524199485,54,median,3.1940233164935563,generalization,16.18453298521872,0.6726827509399905,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6908703127093034,55,median,3.381005668319528,validation,17.06549820031091,0.6908699649286939,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6720658917525071,55,median,3.1921973505950856,generalization,16.215489363664883,0.6720566867438156,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6418543380434256,56,median,3.215615842516604,validation,16.80240321718824,0.6418533560596327,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6722980941455579,56,median,3.191736375926383,generalization,16.20527127525917,0.6722633381554234,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6687715378585107,57,median,3.1209675810473816,validation,15.913119162094764,0.6681053345549801,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6712300871629062,57,median,3.1954800399201604,generalization,16.259009968063875,0.6711765226685026,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6812167405071765,58,median,3.2604358980348236,validation,17.174240872553092,0.6804106945161077,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6732433362474584,58,median,3.1905482299594503,generalization,16.156822528350197,0.6732431693666874,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6497780544337992,59,median,3.3642270424055614,validation,17.591089298465047,0.6460441021652958,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6699924179493548,59,median,3.2004408926158425,generalization,16.320306353903707,0.6699368598120743,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6784950708907473,60,median,3.2958525959703078,validation,16.63757725932092,0.6784949050152689,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6713191188846783,60,median,3.1941840895394558,generalization,16.252495235976,0.671308277115005,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6253096051423002,61,median,3.5057459494594783,validation,18.613311794077877,0.624992588933164,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6752941970290418,61,median,3.173606069528331,generalization,16.056809044436697,0.6752658498143329,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6487665839697627,62,median,3.2886489914774915,validation,16.456417838608733,0.6482788627374665,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6714737300104291,62,median,3.1869526870027336,generalization,16.244572435429053,0.6714685084471198,Age,"EL, EDU, LS, MH"
RandomForest,no,0.7090042959191513,63,median,3.0419416013913083,validation,13.939190839534811,0.7089502501439984,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6734805096938439,63,median,3.191744715578056,generalization,16.146524428016612,0.6734514389457239,Age,"EL, EDU, LS, MH"
RandomForest,no,0.7030195481766115,64,median,3.2033840329099714,validation,15.23571711778041,0.702364670039468,Age,"EL, EDU, LS, MH"
RandomForest,no,0.676494325088317,64,median,3.1723545129604283,generalization,15.996611137466436,0.6764832969489936,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6126196126476635,65,median,3.460620401489268,validation,19.205157494892376,0.6117199681229301,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6739644104829059,65,median,3.1815596644205715,generalization,16.121946775281547,0.6739484992988982,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6909257874143024,66,median,3.1857855361596013,validation,15.93486543640898,0.6908647540193674,Age,"EL, EDU, LS, MH"
RandomForest,no,0.67026600660629,66,median,3.205362275449102,generalization,16.30428706986028,0.670260835053732,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6846291121203358,67,median,3.1364258096766853,validation,16.022807927030733,0.6840201942034879,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6681111872335448,67,median,3.2105569163990166,generalization,16.410587852647666,0.6681109997865253,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6831955355568566,68,median,3.1775760598503733,validation,15.247744718204489,0.6795600614737987,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6715340376832057,68,median,3.19898003992016,generalization,16.24578923752495,0.6714438997472553,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6660244551640991,69,median,3.1803032275300587,validation,15.98238859347985,0.6648823079946076,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6759128772207016,69,median,3.178220053913676,generalization,16.02622630619767,0.6758843574820094,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6690053062338206,70,median,3.4021372392679146,validation,17.710223716027215,0.6674253203087519,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6729297355857,70,median,3.1860840475697856,generalization,16.172322454931525,0.6729296976505825,Age,"EL, EDU, LS, MH"
