,Estimator,Permuted,ev,fold,imputation_strategy,mae,model_testing,mse,r2_score,target,variable
52,RandomForest,no,0.6321524133654868,26,median,3.309428854500024,validation,18.104694677395088,0.62987301986945,Age,"EL, EDU, LS, MH"
53,RandomForest,no,0.6144249096118235,26,median,3.484954941261304,generalization,19.06515152990572,0.614424898303815,Age,"EL, EDU, LS, MH"
54,RandomForest,no,0.5660886665702827,27,median,3.754064837905237,validation,22.282190563591023,0.5632250552623539,Age,"EL, EDU, LS, MH"
55,RandomForest,no,0.6103317136178451,27,median,3.49362874251497,generalization,19.268027632734533,0.6103219162814982,Age,"EL, EDU, LS, MH"
56,RandomForest,no,0.6011002274550581,28,median,3.6106105249696268,validation,20.42285626486709,0.6010925795743747,Age,"EL, EDU, LS, MH"
57,RandomForest,no,0.6138442321772029,28,median,3.4811759717744,generalization,19.094916270702385,0.6138229338797905,Age,"EL, EDU, LS, MH"
58,RandomForest,no,0.5944446814510096,29,median,3.6060700546375095,validation,21.162154096273007,0.5935520128649818,Age,"EL, EDU, LS, MH"
59,RandomForest,no,0.6117888770834663,29,median,3.491328046874828,generalization,19.195645011024688,0.6117857880311159,Age,"EL, EDU, LS, MH"
60,RandomForest,no,0.5928889953012311,30,median,3.509137676273038,validation,19.96095090815264,0.5927861679503371,Age,"EL, EDU, LS, MH"
61,RandomForest,no,0.6135675004541141,30,median,3.4862434582421424,generalization,19.109844641724226,0.6135210213476046,Age,"EL, EDU, LS, MH"
62,RandomForest,no,0.5774290974209999,31,median,3.558386333864048,validation,19.283271445176045,0.576709086503325,Age,"EL, EDU, LS, MH"
63,RandomForest,no,0.6122815806963937,31,median,3.4916149353789314,generalization,19.17449302259395,0.6122135674839813,Age,"EL, EDU, LS, MH"
64,RandomForest,no,0.5844611109383364,32,median,3.7654648335922336,validation,22.25782227226916,0.5844422467525159,Age,"EL, EDU, LS, MH"
65,RandomForest,no,0.6090405186544761,32,median,3.5117566217639253,generalization,19.333501993520557,0.6089977577360515,Age,"EL, EDU, LS, MH"
66,RandomForest,no,0.6262910999678747,33,median,3.4095955638549538,validation,18.041061374652262,0.6262460360453611,Age,"EL, EDU, LS, MH"
67,RandomForest,no,0.6109201434853253,33,median,3.493209086051764,generalization,19.239408446418327,0.6109007129229528,Age,"EL, EDU, LS, MH"
68,RandomForest,no,0.6415586038241812,34,median,3.3196918424141764,validation,17.068612851877738,0.6414987114258556,Age,"EL, EDU, LS, MH"
69,RandomForest,no,0.6152344794262274,34,median,3.4755897038503862,generalization,19.027996824037846,0.6151763179540088,Age,"EL, EDU, LS, MH"
70,RandomForest,no,0.6262397392873965,35,median,3.5428246051537817,validation,19.19830541978387,0.6261465641541969,Age,"EL, EDU, LS, MH"
71,RandomForest,no,0.6144717312885375,35,median,3.4837580838323348,generalization,19.063075082412954,0.6144668925387904,Age,"EL, EDU, LS, MH"
72,RandomForest,no,0.649152334891594,36,median,3.3447502917218723,validation,17.974748754682132,0.6490735139492847,Age,"EL, EDU, LS, MH"
73,RandomForest,no,0.6183971616426064,36,median,3.467568989633002,generalization,18.869367578109298,0.6183844481141572,Age,"EL, EDU, LS, MH"
74,RandomForest,no,0.5945263349260683,37,median,3.70081795511222,validation,21.66480825935162,0.5944168937974611,Age,"EL, EDU, LS, MH"
75,RandomForest,no,0.6093372291378358,37,median,3.505877245508982,generalization,19.317924291417167,0.6093128023903405,Age,"EL, EDU, LS, MH"
76,RandomForest,no,0.6521361481134476,38,median,3.3301421453628035,validation,17.181008625407113,0.6519796482848563,Age,"EL, EDU, LS, MH"
77,RandomForest,no,0.6123473805029047,38,median,3.4922139933501786,generalization,19.168856336589812,0.6123275642584556,Age,"EL, EDU, LS, MH"
78,RandomForest,no,0.5959710504810037,39,median,3.4169407218418937,validation,18.984547016921443,0.5955260269315965,Age,"EL, EDU, LS, MH"
79,RandomForest,no,0.6145222685529468,39,median,3.4871114734108217,generalization,19.063641074964853,0.614455445861568,Age,"EL, EDU, LS, MH"
80,RandomForest,no,0.6403091974921631,40,median,3.4794912718204487,validation,19.057137037406484,0.6400520618671208,Age,"EL, EDU, LS, MH"
81,RandomForest,no,0.6121472206542645,40,median,3.4885379241516965,generalization,19.179968091816363,0.6121028392598225,Age,"EL, EDU, LS, MH"
82,RandomForest,no,0.6168476792022521,41,median,3.60136014472925,validation,19.79628324294307,0.6164221262769226,Age,"EL, EDU, LS, MH"
83,RandomForest,no,0.6139996990971277,41,median,3.477860270052274,generalization,19.08774039768127,0.6139680592917516,Age,"EL, EDU, LS, MH"
84,RandomForest,no,0.6255953307859756,42,median,3.4696794566547347,validation,19.040622812844557,0.6250390435724587,Age,"EL, EDU, LS, MH"
85,RandomForest,no,0.6087394035454068,42,median,3.5037779579425337,generalization,19.34628349050853,0.6087392637506647,Age,"EL, EDU, LS, MH"
86,RandomForest,no,0.6132914862789492,43,median,3.580011471321696,validation,19.65232461915212,0.6132005682461943,Age,"EL, EDU, LS, MH"
87,RandomForest,no,0.6100183481944979,43,median,3.4919529441117767,generalization,19.284833130413663,0.6099820405943566,Age,"EL, EDU, LS, MH"
88,RandomForest,no,0.5756398456347591,44,median,3.4324715134298933,validation,18.91989961587684,0.5753958583609354,Age,"EL, EDU, LS, MH"
89,RandomForest,no,0.6128232727511349,44,median,3.4892370613531845,generalization,19.14878559050699,0.6127334765823029,Age,"EL, EDU, LS, MH"
90,RandomForest,no,0.6480655019236216,45,median,3.3786811630385696,validation,17.219254430629945,0.6474973161084513,Age,"EL, EDU, LS, MH"
91,RandomForest,no,0.6097164434524839,45,median,3.5009126419951806,generalization,19.30023521453655,0.6096705476517121,Age,"EL, EDU, LS, MH"
92,RandomForest,no,0.6201940846300695,46,median,3.4216359102244387,validation,17.904554653366578,0.6197914023958764,Age,"EL, EDU, LS, MH"
93,RandomForest,no,0.6130114527544814,46,median,3.4900029940119763,generalization,19.136235852295407,0.6129872834602395,Age,"EL, EDU, LS, MH"
94,RandomForest,no,0.6205608410774741,47,median,3.580336677953708,validation,19.35773177403164,0.6194797226928074,Age,"EL, EDU, LS, MH"
95,RandomForest,no,0.6122341067077894,47,median,3.4961008035004015,generalization,19.17354372006869,0.6122327662518035,Age,"EL, EDU, LS, MH"
96,RandomForest,no,0.6305352519725564,48,median,3.5641968684288847,validation,19.64594120584078,0.6304211314393567,Age,"EL, EDU, LS, MH"
97,RandomForest,no,0.6127916634183244,48,median,3.490642304608984,generalization,19.14935234498797,0.6127220144957677,Age,"EL, EDU, LS, MH"
98,RandomForest,no,0.6201475071245519,49,median,3.5485705617175856,validation,18.772426840168574,0.6201084608257939,Age,"EL, EDU, LS, MH"
99,RandomForest,no,0.6137161021413279,49,median,3.4822455475606264,generalization,19.10235069783529,0.6136725794494401,Age,"EL, EDU, LS, MH"
100,RandomForest,no,0.5957979111850675,50,median,3.619102244389028,validation,20.253195371571074,0.5947905406231702,Age,"EL, EDU, LS, MH"
101,RandomForest,no,0.612759023621174,50,median,3.4857894211576848,generalization,19.149099876247504,0.6127271204431362,Age,"EL, EDU, LS, MH"
102,RandomForest,no,0.5913214277715836,51,median,3.4483470263215352,validation,19.658709388829454,0.5912071761707542,Age,"EL, EDU, LS, MH"
103,RandomForest,no,0.6098559732385513,51,median,3.4982318220398376,generalization,19.291666449239198,0.609843843024988,Age,"EL, EDU, LS, MH"
104,RandomForest,no,0.5899732576802057,52,median,3.4646522156148096,validation,19.372396384924084,0.5860217952687904,Age,"EL, EDU, LS, MH"
105,RandomForest,no,0.610970358249481,52,median,3.4916063104560107,generalization,19.237308809702725,0.6109431761385676,Age,"EL, EDU, LS, MH"
106,RandomForest,no,0.6140710126938014,53,median,3.5970064509241992,validation,20.714156982158656,0.6130549366028677,Age,"EL, EDU, LS, MH"
107,RandomForest,no,0.6101863403863315,53,median,3.4955459147975088,generalization,19.274816916668197,0.6101846092771945,Age,"EL, EDU, LS, MH"
108,RandomForest,no,0.6442711029818077,54,median,3.407568562268172,validation,17.810894674996046,0.6439697740018707,Age,"EL, EDU, LS, MH"
109,RandomForest,no,0.612781963217303,54,median,3.483883741245952,generalization,19.147510967820644,0.6127592546502685,Age,"EL, EDU, LS, MH"
110,RandomForest,no,0.6598275416023491,55,median,3.518455352962974,validation,18.780979881807863,0.6597951667516517,Age,"EL, EDU, LS, MH"
111,RandomForest,no,0.6149284804364086,55,median,3.4763679701415877,generalization,19.040413700048173,0.6149251980915247,Age,"EL, EDU, LS, MH"
