Estimator,Permuted,Type,fold,group,model_testing,roc,target
RandomForest,no,Non-imaging,60,low vs high,generalization,0.7653041239997762,Neuroticism
RandomForest,no,Non-imaging,61,low vs high,validation,0.8043154761904759,Neuroticism
RandomForest,no,Non-imaging,61,low vs high,generalization,0.7710974950105385,Neuroticism
RandomForest,no,Non-imaging,62,low vs high,validation,0.7797619047619048,Neuroticism
RandomForest,no,Non-imaging,62,low vs high,generalization,0.7648256952604778,Neuroticism
RandomForest,no,Non-imaging,63,low vs high,validation,0.7980724677972384,Neuroticism
RandomForest,no,Non-imaging,63,low vs high,generalization,0.7710951634864678,Neuroticism
RandomForest,no,Non-imaging,64,low vs high,validation,0.78125,Neuroticism
RandomForest,no,Non-imaging,64,low vs high,generalization,0.7749570999571,Neuroticism
RandomForest,no,Non-imaging,65,low vs high,validation,0.7767857142857143,Neuroticism
RandomForest,no,Non-imaging,65,low vs high,generalization,0.7643370078152688,Neuroticism
RandomForest,no,Non-imaging,66,low vs high,validation,0.7740384615384615,Neuroticism
RandomForest,no,Non-imaging,66,low vs high,generalization,0.771583850931677,Neuroticism
RandomForest,no,Non-imaging,67,low vs high,validation,0.7490740740740741,Neuroticism
RandomForest,no,Non-imaging,67,low vs high,generalization,0.7701313114356593,Neuroticism
RandomForest,no,Non-imaging,68,low vs high,validation,0.7811138912056343,Neuroticism
RandomForest,no,Non-imaging,68,low vs high,generalization,0.7672313617965791,Neuroticism
RandomForest,no,Non-imaging,69,low vs high,validation,0.7649763165227084,Neuroticism
RandomForest,no,Non-imaging,69,low vs high,generalization,0.7696575457445023,Neuroticism
RandomForest,no,Non-imaging,70,low vs high,validation,0.7984639585453873,Neuroticism
RandomForest,no,Non-imaging,70,low vs high,generalization,0.7749654934437543,Neuroticism
RandomForest,no,Non-imaging,71,low vs high,validation,0.7402992052360916,Neuroticism
RandomForest,no,Non-imaging,71,low vs high,generalization,0.7715805867979781,Neuroticism
RandomForest,no,Non-imaging,72,low vs high,validation,0.802827380952381,Neuroticism
RandomForest,no,Non-imaging,72,low vs high,generalization,0.7720636785854178,Neuroticism
